,OCC_CODE,TOT_EMP,A_MEAN
0,11-1011,"10,430","220,040"
1,11-1011,"10,430","220,040"
2,11-1021,"163,250","156,260"
3,11-2011,"6,590","174,870"
4,11-2021,"17,590","187,860"
5,11-2022,"23,120","198,390"
6,11-2031,"6,190","167,330"
7,11-3011,"18,350","137,480"
8,11-3021,"27,070","190,310"
9,11-3031,"42,460","210,510"
10,11-3031,"42,460","210,510"
11,11-3051,"5,310","132,480"
12,11-3051,"5,310","132,480"
13,11-3051,"5,310","132,480"
14,11-3051,"5,310","132,480"
15,11-3051,"5,310","132,480"
16,11-3051,"5,310","132,480"
17,11-3061,"4,020","147,470"
18,11-3071,"3,880","120,350"
19,11-3071,"3,880","120,350"
20,11-3071,"3,880","120,350"
21,11-3111,"1,510","161,950"
22,11-3121,"10,230","150,280"
23,11-3131,"3,340","153,180"
24,11-9013,60,*
25,11-9013,60,*
26,11-9013,60,*
27,11-9021,"10,970","131,950"
28,11-9031,"4,020","74,580"
29,11-9032,"20,670","127,970"
30,11-9033,"10,810","124,350"
31,11-9039,"2,050",*
32,11-9039,"2,050",*
33,11-9041,"7,330","161,670"
34,11-9041,"7,330","161,670"
35,11-9051,"8,850","77,760"
36,11-9061,540,"97,400"
37,11-9071,80,"103,330"
38,11-9081,780,"86,200"
39,11-9111,"25,830","143,030"
40,11-9121,"1,360","148,460"
41,11-9121,"1,360","148,460"
42,11-9121,"1,360","148,460"
43,11-9131,830,"78,630"
44,11-9141,"8,650","112,580"
45,11-9151,"13,110","86,700"
46,11-9161,680,"99,960"
47,11-9199,"16,600","124,160"
48,11-9199,"16,600","124,160"
49,11-9199,"16,600","124,160"
50,11-9199,"16,600","124,160"
51,11-9199,"16,600","124,160"
52,11-9199,"16,600","124,160"
53,11-9199,"16,600","124,160"
54,11-9199,"16,600","124,160"
55,11-9199,"16,600","124,160"
56,13-1011,"3,460","100,560"
57,13-1031,"18,510","71,950"
58,13-1031,"18,510","71,950"
59,13-1032,670,"69,460"
60,13-1041,"21,370","76,370"
61,13-1041,"21,370","76,370"
62,13-1041,"21,370","76,370"
63,13-1041,"21,370","76,370"
64,13-1041,"21,370","76,370"
65,13-1041,"21,370","76,370"
66,13-1051,"10,150","75,730"
67,13-1071,"41,300","75,650"
68,13-1075,"7,890","85,870"
69,13-1081,"3,430","76,240"
70,13-1081,"3,430","76,240"
71,13-1081,"3,430","76,240"
72,13-1111,"47,580","111,040"
73,13-1121,"10,340","67,990"
74,13-1131,"7,110","68,460"
75,13-1141,"8,810","76,680"
76,13-1151,"23,500","69,910"
77,13-1161,"63,520","77,230"
78,13-1199,"31,370","83,330"
79,13-1199,"31,370","83,330"
80,13-1199,"31,370","83,330"
81,13-1199,"31,370","83,330"
82,13-1199,"31,370","83,330"
83,13-1199,"31,370","83,330"
84,13-2011,"110,780","96,300"
85,13-2011,"110,780","96,300"
86,13-2021,"2,960","63,100"
87,13-2021,"2,960","63,100"
88,13-2031,"3,150","78,540"
89,13-2041,"7,440","119,180"
90,13-2051,"53,250","137,270"
91,13-2052,"26,710","164,260"
92,13-2053,"8,430","92,810"
93,13-2061,"9,030","115,980"
94,13-2071,"2,560","60,520"
95,13-2071,"2,560","60,520"
96,13-2072,"12,890","103,450"
97,13-2081,"4,830","70,560"
98,13-2082,"4,070","63,440"
99,13-2099,"4,450","96,480"
100,13-2099,"4,450","96,480"
101,13-2099,"4,450","96,480"
102,15-1111,"1,430","131,220"
103,15-1121,"44,030","106,320"
104,15-1121,"44,030","106,320"
105,15-1122,"6,930","122,000"
106,15-1131,"15,380","91,250"
107,15-1132,"52,640","116,830"
108,15-1133,"19,690","115,120"
109,15-1134,"12,030","79,880"
110,15-1141,"7,100","99,000"
111,15-1142,"25,940","94,940"
112,15-1143,"8,660","113,300"
113,15-1143,"8,660","113,300"
114,15-1151,"45,190","60,160"
115,15-1152,"12,930","79,200"
116,15-1199,**,"90,750"
117,15-1199,**,"90,750"
118,15-1199,**,"90,750"
119,15-1199,**,"90,750"
120,15-1199,**,"90,750"
121,15-1199,**,"90,750"
122,15-1199,**,"90,750"
123,15-1199,**,"90,750"
124,15-1199,**,"90,750"
125,15-1199,**,"90,750"
126,15-1199,**,"90,750"
127,15-1199,**,"90,750"
128,15-2011,"2,320","150,950"
129,15-2021,**,"84,670"
130,15-2031,"5,790","102,560"
131,15-2041,"1,120","95,870"
132,15-2041,"1,120","95,870"
133,15-2041,"1,120","95,870"
134,17-1011,"11,620","109,520"
135,17-1012,"1,540","82,510"
136,17-1021,170,"78,780"
137,17-1022,"1,800","77,660"
138,17-1022,"1,800","77,660"
139,17-2011,320,"115,420"
140,17-2031,440,"101,460"
141,17-2041,860,"100,380"
142,17-2051,"16,790","102,250"
143,17-2051,"16,790","102,250"
144,17-2061,"1,230","114,590"
145,17-2071,"10,500","103,740"
146,17-2072,"3,630","98,150"
147,17-2072,"3,630","98,150"
148,17-2081,"3,100","90,470"
149,17-2081,"3,100","90,470"
150,17-2111,"1,830","95,530"
151,17-2111,"1,830","95,530"
152,17-2111,"1,830","95,530"
153,17-2112,"12,030","94,700"
154,17-2112,"12,030","94,700"
155,17-2121,270,"120,860"
156,17-2121,270,"120,860"
157,17-2131,"1,020","100,880"
158,17-2141,"11,280","91,820"
159,17-2141,"11,280","91,820"
160,17-2141,"11,280","91,820"
161,17-2151,110,"90,240"
162,17-2161,410,"112,400"
163,17-2199,"4,910","95,270"
164,17-2199,"4,910","95,270"
165,17-2199,"4,910","95,270"
166,17-2199,"4,910","95,270"
167,17-2199,"4,910","95,270"
168,17-2199,"4,910","95,270"
169,17-2199,"4,910","95,270"
170,17-2199,"4,910","95,270"
171,17-2199,"4,910","95,270"
172,17-2199,"4,910","95,270"
173,17-2199,"4,910","95,270"
174,17-3011,"5,730","59,770"
175,17-3011,"5,730","59,770"
176,17-3012,"1,380","69,500"
177,17-3012,"1,380","69,500"
178,17-3013,"2,780","57,780"
179,17-3021,160,"75,070"
180,17-3022,"2,010","61,020"
181,17-3023,"6,060","65,310"
182,17-3023,"6,060","65,310"
183,17-3024,240,"67,440"
184,17-3024,240,"67,440"
185,17-3025,640,"58,010"
186,17-3026,"3,150","57,200"
187,17-3027,"1,310","60,000"
188,17-3027,"1,310","60,000"
189,17-3029,"2,200","63,780"
190,17-3029,"2,200","63,780"
191,17-3029,"2,200","63,780"
192,17-3029,"2,200","63,780"
193,17-3029,"2,200","63,780"
194,17-3029,"2,200","63,780"
195,17-3029,"2,200","63,780"
196,17-3029,"2,200","63,780"
197,17-3029,"2,200","63,780"
198,17-3029,"2,200","63,780"
199,17-3029,"2,200","63,780"
200,17-3031,"1,820","52,470"
201,17-3031,"1,820","52,470"
202,19-1011,130,"62,140"
203,19-1012,480,"61,630"
204,19-1013,140,"83,530"
205,19-1021,870,"68,990"
206,19-1022,680,"80,500"
207,19-1023,370,"75,290"
208,19-1029,690,"89,000"
209,19-1029,690,"89,000"
210,19-1029,690,"89,000"
211,19-1031,500,*
212,19-1031,500,*
213,19-1031,500,*
214,19-1032,250,"65,620"
215,19-1041,210,"91,880"
216,19-1042,"9,500","95,170"
217,19-2012,950,"138,920"
218,19-2021,460,"89,840"
219,19-2031,"3,360","85,590"
220,19-2032,330,"101,310"
221,19-2041,"4,400","79,340"
222,19-2041,"4,400","79,340"
223,19-2041,"4,400","79,340"
224,19-2041,"4,400","79,340"
225,19-2042,700,"76,360"
226,19-2043,170,"75,560"
227,19-2099,900,"103,970"
228,19-3011,750,"127,520"
229,19-3011,750,"127,520"
230,19-3022,710,"74,130"
231,19-3031,"11,370","94,140"
232,19-3031,"11,370","94,140"
233,19-3031,"11,370","94,140"
234,19-3039,480,"99,640"
235,19-3041,190,"75,800"
236,19-3051,"1,410","76,730"
237,19-3091,60,"67,860"
238,19-3091,60,"67,860"
239,19-3093,400,"32,640"
240,19-3094,90,"122,440"
241,19-3099,"2,410","84,940"
242,19-4011,"1,040","51,940"
243,19-4011,"1,040","51,940"
244,19-4021,"3,460","49,180"
245,19-4031,"2,790","53,000"
246,19-4041,110,"54,920"
247,19-4041,110,"54,920"
248,19-4051,330,"95,940"
249,19-4051,330,"95,940"
250,19-4061,"6,290","49,000"
251,19-4061,"6,290","49,000"
252,19-4091,"2,400","52,810"
253,19-4092,840,"66,650"
254,19-4093,390,"42,070"
255,19-4099,"6,930","53,380"
256,19-4099,"6,930","53,380"
257,19-4099,"6,930","53,380"
258,21-1012,"24,940","67,920"
259,21-1013,970,"49,420"
260,21-1015,"9,720","36,040"
261,21-1021,"28,530","58,050"
262,21-1022,"13,290","62,280"
263,21-1023,"11,470","62,130"
264,21-1091,"4,640","57,010"
265,21-1092,"4,770","70,690"
266,21-1093,"37,340","37,180"
267,21-1094,"6,590","44,340"
268,21-2011,"7,320","57,550"
269,21-2021,"4,960","45,340"
270,23-1011,"76,840","167,110"
271,23-1012,700,"121,110"
272,23-1021,"1,390","106,500"
273,23-1022,410,"85,910"
274,23-1023,"3,170","158,970"
275,23-2011,"25,500","58,750"
276,23-2091,"1,430","90,040"
277,23-2093,"2,140","60,500"
278,25-1011,"8,910","110,500"
279,25-1021,"3,030","105,860"
280,25-1022,"4,700","105,070"
281,25-1031,970,"135,190"
282,25-1032,"2,900","127,010"
283,25-1041,390,"99,920"
284,25-1042,"4,590","102,800"
285,25-1043,160,"81,450"
286,25-1051,880,"108,020"
287,25-1052,"2,270","102,260"
288,25-1053,820,"90,160"
289,25-1054,"1,430","117,370"
290,25-1061,"1,080","112,460"
291,25-1062,"1,510","93,280"
292,25-1063,"1,650","129,370"
293,25-1064,220,"90,390"
294,25-1065,"1,680","125,360"
295,25-1066,"4,840","99,690"
296,25-1067,"1,290","90,250"
297,25-1071,"22,170","127,230"
298,25-1072,"4,380","91,900"
299,25-1081,"5,590","88,580"
300,25-1082,450,"84,610"
301,25-1111,"1,450","62,080"
302,25-1112,"3,440","137,990"
303,25-1113,"2,760","91,680"
304,25-1121,"11,530","99,870"
305,25-1122,"3,080","90,470"
306,25-1123,"7,700","92,170"
307,25-1124,"3,130","87,670"
308,25-1125,"2,050","93,000"
309,25-1126,"3,530","80,480"
310,25-1191,"10,220","38,520"
311,25-1193,"1,320","78,150"
312,25-1194,"3,630","65,830"
313,25-2011,"30,790","48,630"
314,25-2012,"6,120","79,410"
315,25-2021,"82,590","83,010"
316,25-2022,"39,950","83,490"
317,25-2023,"1,360","82,210"
318,25-2031,"74,830","85,300"
319,25-2032,"4,480","76,000"
320,25-2051,"4,860","83,010"
321,25-2052,"18,790","77,840"
322,25-2053,"10,970","83,050"
323,25-2054,"17,420","86,330"
324,25-3011,"4,530","75,720"
325,25-3021,"31,840","56,060"
326,25-4011,"1,170","56,270"
327,25-4012,"1,570","73,850"
328,25-4013,"1,490","56,040"
329,25-4021,"12,690","68,520"
330,25-4031,"8,120","35,050"
331,25-9011,550,"59,150"
332,25-9021,70,"45,250"
333,25-9031,"14,150","71,440"
334,25-9031,"14,150","71,440"
335,25-9041,"123,960","31,330"
336,27-1011,"8,320","124,710"
337,27-1012,170,"59,630"
338,27-1013,"1,410",*
339,27-1014,"2,060","86,490"
340,27-1021,"1,990","74,830"
341,27-1022,"7,550","95,830"
342,27-1023,"2,020","33,520"
343,27-1024,"21,350","64,840"
344,27-1025,"4,780","66,790"
345,27-1026,"6,660","36,200"
346,27-1027,"2,000","76,650"
347,27-2011,"6,820",*
348,27-2012,"26,110","115,610"
349,27-2012,"26,110","115,610"
350,27-2012,"26,110","115,610"
351,27-2012,"26,110","115,610"
352,27-2012,"26,110","115,610"
353,27-2021,300,"102,930"
354,27-2022,"10,320","56,320"
355,27-2023,890,*
356,27-2031,"1,800",*
357,27-2032,60,"85,720"
358,27-2041,"2,780","66,120"
359,27-2041,"2,780","66,120"
360,27-2042,"7,840",*
361,27-2042,"7,840",*
362,27-3011,"1,690","74,220"
363,27-3012,480,"56,080"
364,27-3021,880,"111,340"
365,27-3022,"4,540","81,930"
366,27-3031,"24,510","74,000"
367,27-3041,"19,140","83,070"
368,27-3042,"2,460","76,380"
369,27-3043,"7,410","86,380"
370,27-3043,"7,410","86,380"
371,27-3091,"3,300","68,940"
372,27-4011,"7,780","55,140"
373,27-4012,"5,590","57,460"
374,27-4013,40,*
375,27-4014,"1,770","82,030"
376,27-4021,"4,090","53,150"
377,27-4031,"2,270","86,430"
378,27-4032,"4,590","92,170"
379,29-1011,"1,970","83,800"
380,29-1021,"8,700","164,520"
381,29-1022,490,"249,460"
382,29-1023,150,"250,890"
383,29-1031,"4,710","68,050"
384,29-1041,"2,040","124,820"
385,29-1051,"20,400","121,030"
386,29-1061,"1,500","255,500"
387,29-1062,"2,230","192,900"
388,29-1063,"2,260","195,250"
389,29-1064,"1,200","230,250"
390,29-1065,"1,820","178,680"
391,29-1066,"3,590","208,750"
392,29-1067,"1,710","250,620"
393,29-1069,"44,830","171,060"
394,29-1069,"44,830","171,060"
395,29-1069,"44,830","171,060"
396,29-1069,"44,830","171,060"
397,29-1069,"44,830","171,060"
398,29-1069,"44,830","171,060"
399,29-1069,"44,830","171,060"
400,29-1069,"44,830","171,060"
401,29-1069,"44,830","171,060"
402,29-1069,"44,830","171,060"
403,29-1069,"44,830","171,060"
404,29-1069,"44,830","171,060"
405,29-1071,"12,060","117,000"
406,29-1071,"12,060","117,000"
407,29-1081,"1,140","156,960"
408,29-1122,"9,740","88,370"
409,29-1122,"9,740","88,370"
410,29-1123,"16,660","87,470"
411,29-1124,"1,150","99,710"
412,29-1125,"1,500","55,370"
413,29-1125,"1,500","55,370"
414,29-1125,"1,500","55,370"
415,29-1126,"5,740","74,890"
416,29-1127,"12,750","90,820"
417,29-1128,320,"68,180"
418,29-1131,"3,240","117,800"
419,29-1141,"182,490","85,610"
420,29-1141,"182,490","85,610"
421,29-1141,"182,490","85,610"
422,29-1141,"182,490","85,610"
423,29-1141,"182,490","85,610"
424,29-1151,"1,770","191,130"
425,29-1161,450,"110,150"
426,29-1171,"13,710","120,970"
427,29-1181,"1,010","83,390"
428,29-1199,"2,700","77,400"
429,29-1199,"2,700","77,400"
430,29-1199,"2,700","77,400"
431,29-2021,"11,300","76,280"
432,29-2031,"3,280","63,690"
433,29-2032,"5,210","74,960"
